filewrites,filereads,CPU,diskIOBW,net bytes
207.333333333,3.66666666667,5.60333339373,166703654.276,7945.05555554
22.5,3.85714285714,8.39714278494,587512171.063,268484779.833
62.0476190476,22.6031746032,6.49349208105,511558033.434,390048.774603
6.8,5.0,6.81600008011,339481935.318,588609636.4
19.3703703704,3.74074074074,7.67407401403,520268247.273,416557393.559
10.3846153846,4.11538461538,8.47230764536,570496386.591,162634341.896
116.7,9.1,6.38466666539,444204655.71,147804.986667
92.0918367347,9.07142857143,7.2272448929,611734549.716,1980820.89048
73.3035714286,5.375,7.76249997956,669724471.738,749766.183333
111.029411765,5.11764705882,7.52661766024,635303349.51,1660706.00147
39.6036036036,19.009009009,7.18864867064,572974511.146,1645762.46637
60.5098039216,13.1078431373,7.09460785342,591973887.556,489880.466993
39.2021276596,19.3191489362,6.83138296452,549887431.185,2078605.14645
